label_raw,n,v9_roles,d056_roles,event_context,participant,rule_id
confections,2,other,other,wedding_day,,unmatched
design + art production,2,other,event_design|lighting_production,wedding_day,,compound(exact+h.lighting)
conference,2,other,other,wedding_day,,unmatched
stationary + signage,2,stationery,stationery|signage,wedding_day,,compound(exact+exact)
reception dinner catering,2,catering,catering,reception,,h.catering.ctx
stationary designer,2,stationery,event_design,wedding_day,,h.event_design
invites & menus,2,other,stationery,wedding_day,,compound(exact+exact)
reception chairs,2,hair,rentals,reception,,exact.ctx
floral wholesaler,2,florist,florist,wedding_day,,exact
floral supplier,2,florist,other,wedding_day,,unmatched
floral purses,2,florist,accessories,wedding_day,,exact
floral production,2,florist,lighting_production,wedding_day,,h.lighting
charger plates,2,other,other,wedding_day,,unmatched
congrats,2,other,other,wedding_day,,unmatched
rabbi,2,other,officiant,wedding_day,,exact
quartet and band,2,band,live_music|band,wedding_day,,compound(exact+exact)
lighting & rentals,2,rentals,lighting_production|rentals,wedding_day,,compound(exact+exact)
graphic design & print items,2,other,stationery,wedding_day,,compound(exact)
stationery and paperie,2,stationery,stationery,wedding_day,,compound(exact+h.stationery)
charcuterie board,2,other,other,wedding_day,,unmatched
pup chaperone,2,other,other,wedding_day,,unmatched
congrats again,2,other,other,wedding_day,,unmatched
graphic design & signage,2,other,stationery|signage,wedding_day,,compound(exact+exact)
publicity,2,other,other,wedding_day,,unmatched
lighting & photo booth,2,photobooth,lighting_production|photo_booth,wedding_day,,compound(exact+exact)
stds,2,other,other,wedding_day,,unmatched
graphic display and fabrication,2,other,other,wedding_day,,unmatched
chandeliers,2,other,other,wedding_day,,unmatched
steel drums,2,other,other,wedding_day,,unmatched
congrats to,2,other,other,wedding_day,,unmatched
graphics,2,other,other,wedding_day,,unmatched
beverage service,2,other,other,wedding_day,,unmatched
congratulations to our favorite city,2,other,other,wedding_day,,unmatched
chandelier rental,2,rentals,rentals,wedding_day,,h.rentals
proud mom,2,other,other,wedding_day,,unmatched
bride second look shoes,2,attire,accessories,wedding_day,,h.accessories.stripped
as seen on,2,other,press_feature,wedding_day,,press
green wall,2,other,other,wedding_day,,unmatched
bride side photographer,2,photographer,photographer,wedding_day,,h.photographer.stripped
