label_raw,current_role,n,handles
hannah’s makeup,makeup,6,2
booze,other,6,2
muah guests,beauty_other,6,1
cellist,other,6,5
groomsmen’s tuxes,attire,6,3
late,other,6,3
vintage rentals,rentals,6,2
late night snack & desserts,cake,6,6
chair rental,hair,6,2
custom calligraphy takeaway,other,6,3
bride’s tan,other,6,1
decadence,other,6,6
lighting & fabric,other,6,1
ple assistants,other,6,3
heena,other,6,2
groom suit,attire,6,4
podium,other,6,2
stage + dancefloor,other,6,1
on the blog today,other,6,6
on the brides,other,6,6
wedding,other,6,5
media,other,6,3
host photographer,photographer,6,2
wedding linens,rentals,6,2
rehearsal dinner linens,catering,6,1
bridal alterations,attire,6,3
hotel block,hotel,6,3
planning + florals,planner,6,3
decor and floral,florist,6,5
cake bakery,cake,6,1
wedding coordination,planner,6,5
rehearsal dinner dueling pianos,catering,6,1
cps strings convening,musician,6,6
floral + event design,florist,6,4
the content,videographer,6,3
floral co,florist,6,2
loc,other,6,6
tabletop rental,rentals,6,1
bar & catering,catering,6,1
groomsmen,other,6,2
bridal beauty,beauty_other,6,2
bridal party glam + hair,hair,6,3
hair artist,hair,6,6
planning & production,planner,6,4
photo assist,photographer,6,3
hair & makeup artists,hair,6,4
featured couple,other,6,2
sharmi + krishn mutli,other,6,6
hair and mua,hair,6,5
rehearsal dinner dress,attire,6,2
dress designers,attire,6,2
guinness foam bar,other,6,1
editing,other,6,3
cocktail hour live music,musician,6,2
bride and groom instagram,other,6,2
dress by,attire,6,6
design and planning,planner,6,2
tabletop rentals & chairs,hair,6,2
bartending service,other,6,2
lighting + tech,other,6,3
wedding stylist,other,6,3
nikkahnama,other,6,5
dancefloor,other,6,6
the henna,other,6,3
styled by,other,6,6
disc jockey,other,6,1
florals by,florist,6,6
published on,other,6,4
jewellery,jeweler,6,2
lovers,other,6,4
the signage,other,6,4
groom's attire,attire,5,5
rehearsal dinner rentals,catering,5,1
beer,other,5,3
gown & veil,attire,5,5
sponsored by,other,5,5
wedding dress attire,attire,5,1
rentals & linens,rentals,5,4
chefs,other,5,5
good times with,other,5,5
after party entertainment,dj,5,3
bands,band,5,5
concealer,other,5,4
speaker,other,5,3
revel space,other,5,1
ring + band,band,5,1
wedding day rentals,rentals,5,1
ring boxes,jeweler,5,1
chicago wedding videographer,videographer,5,1
flowers and decor,florist,5,4
follow,other,5,4
bridal suite,attire,5,2
cold sparklers,other,5,2
social media director,other,5,2
social media creator,other,5,2
sob,other,5,1
wedding day pet care,other,5,1
afterparty,other,5,3
getaway car,other,5,2
second photog,photographer,5,4
signage + paper goods,stationery,5,3
second suit,attire,5,1
shot on,other,5,3
fun fact,other,5,5
wedding dance lessons,other,5,3
brides gown,attire,5,5
linens and rentals,rentals,5,2
wedding consultant,other,5,3
hosted by,other,5,5
who,other,5,5
live illustrator,other,5,3
dholi,other,5,4
live sketch artist,other,5,2
custom event app,other,5,1
horses,other,5,1
horse,other,5,3
brides dress designer,attire,5,3
bob,other,5,1
waitstaff,other,5,2
magic,other,5,5
main photographer,photographer,5,2
dj & production,dj,5,1
dj & sax,dj,5,3
bridesmaids dress designer,attire,5,3
custom bars,other,5,1
welcome party venue,other,5,4
djs,dj,5,5
video director,videographer,5,1
dog attendant,other,5,1
dog chaperone,other,5,1
dog sitter,other,5,2
vibe with,other,5,5
welcome drinks,catering,5,3
venue saturday,venue,5,2
venue management,venue,5,2
drapery & lighting,other,5,1
credit,other,5,5
mob,other,5,1
creative director,other,5,5
bouquets,other,5,4
mog,other,5,1
bride's shoes,attire,5,4
vendor liaison,other,5,1
hairstylists,hair,5,5
dressers,attire,5,3
bride’s rings,jeweler,5,3
wedding tux attire,attire,5,1
additional wardrobe,other,5,2
tuxedos,attire,5,4
drinks sponsor,catering,5,2
invitations and paperie,stationery,5,4
next stop,other,5,5
backdrop decor,rentals,5,1
troupe,other,5,1
dance choreography,other,5,3
editor,other,5,5
dance instructor,other,5,3
bridal apparel,attire,5,1
transpo,other,5,5
cps band convening,band,5,5
hair color,hair,5,4
a little goose is about to be loose,other,5,5
engagement rings,jeweler,5,2
hair and makeup in the opening flyer,hair,5,5
paper artist,stationery,5,2
paper details,stationery,5,2
this month,other,5,5
party bus,other,5,5
cd,other,5,3
pastry + cake,cake,5,1
equipment rentals,rentals,5,1
escort cards,other,5,5
performances by,other,5,5
ceremony & dinner music,musician,5,1
personal flowers,florist,5,3
brides wedding dress,attire,5,2
ceremony + reception,other,5,3
late night food,catering,5,5
ceremony + reception venue,venue,5,5
guitarist,other,5,5
bts videographer,videographer,5,3
photographed by,photographer,5,3
wedding planners,planner,5,5
custom painting,other,5,2
ceremony catering,catering,5,2
balloon art,other,5,1
events,other,5,5
text communication,other,5,1
photography & portrait lounge,photographer,5,1
lead photography,photographer,5,2
fashion & event illustrator,other,5,1
ceremony musician,musician,5,5
piano,other,5,3
pic,other,5,1
pie,other,5,5
pies,other,5,2
wedding party transportation,transportation,5,2
grooms’ attire,attire,5,4
