post_url,parser_version,line_no,handle,label_raw,old_role,new_role,old_rule_id,new_rule_id
"https://www.instagram.com/p/DXxQcP8RgI2/","stack-parser-ts-v10",12,"wool_n_linen","Suit","attire","menswear","exact","exact"
"https://www.instagram.com/p/DXxqvK3jnxj/","stack-parser-ts-v10",12,"crystalbrideofficial","Wedding Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DXxqvK3jnxj/","stack-parser-ts-v10",13,"missstellayork","Dress Designer","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DXxqvK3jnxj/","stack-parser-ts-v10",14,"azaziebridal","Bridesmaid Dresses","attire","bridesmaid_attire","exact","exact"
"https://www.instagram.com/p/DXxqvK3jnxj/","stack-parser-ts-v10",15,"duboisformalwear","Guys Attire","attire","menswear","exact","exact"
"https://www.instagram.com/p/DXxUPLvlbyV/","stack-parser-ts-v10",13,"ettetailor","BRIDAL ATTIRE","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DXxUPLvlbyV/","stack-parser-ts-v10",13,"bellableubridal","BRIDAL ATTIRE","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DXxUPLvlbyV/","stack-parser-ts-v10",14,"indochinoweddings","GROOM ATTIRE","attire","menswear","exact","exact"
"https://www.instagram.com/p/DXxUPLvlbyV/","stack-parser-ts-v10",15,"bellabridesmaids","BRIDSEMAID ATTIRE","attire","bridesmaid_attire","exact","exact"
"https://www.instagram.com/p/DXYAFeWkx4L/","stack-parser-ts-v10",10,"crystalbrideofficial","Wedding Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DXYAFeWkx4L/","stack-parser-ts-v10",11,"missstellayork","Dress Designer","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DXYAFeWkx4L/","stack-parser-ts-v10",12,"azaziebridal","Bridesmaid Dresses","attire","bridesmaid_attire","exact","exact"
"https://www.instagram.com/p/DXYAFeWkx4L/","stack-parser-ts-v10",13,"duboisformalwear","Guys Attire","attire","menswear","exact","exact"
"https://www.instagram.com/p/DXz_XL_iYWD/","stack-parser-ts-v10",4,"babyboofashion","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DXz_XL_iYWD/","stack-parser-ts-v10",5,"josabank","Suit","attire","menswear","exact","exact"
